,LipSync,,,,,,,Total filament (g),,,Unit Cost,Total Cost,Total Print time (hr),,,,,,,,,,,,,,,,,,,
J5,7 Pin Female Headers,7 position female headers,Hub,Sullins Connector Solutions,Digikey,S7005-ND,2,1,2, $0.88 , $1.76 , $1.76 ,,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPTC071LFBN-RC/810146,,,,,,,,,,,,,,,,,,
J2,4 Pin Male Headers,4 Pin Male Headers,Hub,Sullins Connector Solutions,Digkey,S1011EC-04-ND,1,1,1, $0.19 , $0.19 , $0.19 ,,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PRPC004SAAN-RC/2775250,,,,,,,,,,,,,,,,,,
DISP,LCD feedback screen,"Monochrome 1.3"" 128x64 OLED graphic display - STEMMA QT / Qwiic",Hub,Adafruit,Digikey,1528-1512-ND,1,1,1, $30.47 , $30.47 , $30.47 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/938/5774238,,,,,,,,,,,,,,,,,,
LS1,Buzzer PS1240,Piezo Buzzer PS1240,Hub,TDK,Digikey,445-2525-1-ND - Cut Tape (CT),1,1,1, $0.92 , $0.92 , $0.92 ,,https://www.digikey.ca/en/products/detail/tdk-corporation/PS1240P02BT/935924,,,,,,,,,,,,,,,,,,
D1/D2/D3,5MM Red LED,Diffused 5MM Round T/H Red LED,Hub,Würth Elektronik,Digikey,732-5016-ND,3,1,3, $0.26 , $0.78 , $0.78 ,,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/151051RS11000/4490012 ,,,,,,,,,,,,,,,,,,
R2/R3/R4,LED Resistors,"68 Ohm Resistor, 1/4W",Hub,YAGEO,Digikey,68QBK-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/yageo/CFR-25JB-52-68R/2832,,,,,,,,,,,,,,,,,,
R1,Speaker Resistor,100 Ohm Resistor,Hub,YAGEO,Digikey,100XBK-ND,1,1,1, $0.14 , $0.14 , $0.14 ,,https://www.digikey.ca/en/products/detail/yageo/MFR-25FBF52-100R/12795 ,,,,,,,,,,,,,,,,,,
C1,Capacitor,10 µF Ceramic Capacitor ,Hub,KEMET,Digikey,C430C106K3R5TA-ND,1,1,1, $1.01 , $1.01 , $1.01 ,,https://www.digikey.ca/en/products/detail/kemet/C430C106K3R5TA/6685941 ,,,,,,,,,,,,,,,,,,
J4,Qwiic Adapter Board,Sparkfun Qwiic Adapter,Hub,SparkFun Electronics,Digikey,1568-1785-ND,1,1,1, $2.34 , $2.34 , $2.34 ,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/DEV-14495/7942483,,,,,,,,,,,,,,,,,,
M2.5n,M2.5 Nut,"HEX NUT, NATURAL, NYLON, M2.5 X",Hub + Joystick,Essentra Components,Digikey,04M025045HN,7,1,7, $0.19 , $1.33 , $1.33 ,,https://www.digikey.ca/en/products/detail/essentra-components/04M025045HN/9677099 ,,,,,,,,,,,,,,,,,,
M2.5x8,M2.5 Screw - 8 mm length,"PAN PHILLIPS SCREW, M2.5X0.45 T x 8 mm Long",Hub + Joystick,Essentra Components,Digikey,50M025045P008,7,1,7, $0.20 , $1.40 , $1.40 ,,https://www.digikey.ca/en/products/detail/essentra-components/50M025045P008/11638585 ,,,,,,,,,,,,,,,,,,
LP,"Light Pipe 0.250""",Light Pipe,Hub + Joystick,Dialight,Digikey,350-3746-ND,2,1,2, $1.66 , $3.32 , $3.32 ,,https://www.digikey.ca/en/products/detail/dialight/51513030250F/4965201 ,,,,,,,,,,,,,,,,,,
No4x3_8,No.4 Screw x 3/8in,SHT MTL SCREW PAN PHIL #4,Hub + Joystick,Serpac,Digikey,SR6005-ND,8,1,8, $0.63 , $5.04 , $5.04 ,,https://www.digikey.ca/en/products/detail/serpac/6005/307599,,,,,,,,,,,,,,,,,,
-,T-Nut,"1/4-20 T-nut x 5/16"" length",Hub + Joystick,PowerTec,Amazon,‎QTN1110,2,50,1, $15.54 , $0.62 , $15.54 ,,https://www.amazon.ca/gp/product/B07NCXNKJR,,,,,,,,,,,,,,,,,,
CBL-USB,USB C cable - 6 ft,USB C to USB A cable for microcontroller,Hub Cable,Amazon,Amazon,,1,1,1, $12.95 , $12.95 , $12.95 ,,https://www.amazon.ca/dp/B01GGKYN0A,,,,,,,,,,,,,,,,,,
Mouthpiece Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silicone Straw,Mouthpiece Tip,Mouthpiece Consumable,WOVTE,Amazon,,2,6,1, $12.49 , $4.16 , $12.49 ,,https://www.amazon.ca/WOVTE-Reusable-Toddlers-Silicone-Cleaning/dp/B07KVTYG5X,,,,,,,,,,,,,,,,,,
,Female Luer Lock 1/4 Inch Luer Lock Connector Kit to Syringe Coupler Adapter,Mouthpiece Tip Adapter,Mouthpiece Consumable,PEUTIER,Amazon,B0CJY11V4B,5,30,1, $10.99 , $1.83 , $10.99 ,,https://www.amazon.ca/dp/B0CJY11V4B,,,,,,,,,,,,,,,,,,
-,Syringe Filters,Mouthpiece Filter,Mouthpiece Consumable,,Amazon,B0BKRR426C,6,100,1, $39.99 , $2.40 , $39.99 ,,https://www.amazon.ca/gp/product/B0BKRR426C,,,,,,,,,,,,,,,,,,
,Custom PCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part,Description,,Manufacturer,Supplier,Supplier PN,QTY,QTY / PKG,PKG,$/PKG,Price per Unit,Total Price,,Link,,,,,,,,,,,,,,,,,,
PCB1,LipSync Hub PCB,PCB,Hub,JLCPCB,,,1,5,1,5,1,5,,https://jlcpcb.com/,,,,,,,,,,,,,,,,,,
,PCB Shipping,PCB Shipping - DHL Express,Shipping,,,,1,5,1,25,5,25,,,,,,,,,,,,,,,,,,,,
,PCB Shipping,PCB Shipping - Fedex International,Shipping,,,,0,5,0,25,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part,Description,,,,,QTY, Mass (g),,Estimated Price,Estimated Price,Estimated Price,Print Time (hr:Min),Link,,,,,,,,,,,,,,,,,,
,LS4_Hub_Top ,Top of the Hub,Hub,,,,1,19,, $0.57 , $0.57 , $0.57 ,0:36,,,,,,,,,,,,,,,,,,,
,LS4_Hub_Bottom,Bottom of the Hub,Hub,,,,1,26,, $0.78 , $0.78 , $0.78 ,1:12,,,,,,,,,,,,,,,,,,,
,LS4_Hub_LED_Spacer,Spacer to properly position feedback LEDs in the Hub,Hub,,,,1,2,, $0.06 , $0.06 , $0.06 ,1:34,,,,,,,,,,,,,,,,,,,
,LS4_Hub_Next_Button,Button to push an internal switch on the Hub,Hub,,,,1,2,, $0.06 , $0.06 , $0.06 ,2:07,,,,,,,,,,,,,,,,,,,
,LS4_Hub_Select_Button,Button to push an internal switch on the Hub,Hub,,,,1,2,, $0.06 , $0.06 , $0.06 ,0:13,,,,,,,,,,,,,,,,,,,
,LS4_Inner_Gimbal_1,Half of the inner gimbal mechanism,Joystick,,,,1,3,, $0.09 , $0.09 , $0.09 ,0:11,,,,,,,,,,,,,,,,,,,
,LS4_Inner_Gimbal_ 2,Half of the inner gimbal mechanism,Joystick,,,,1,3,, $0.09 , $0.09 , $0.09 ,0:11,,,,,,,,,,,,,,,,,,,
,LS4_Outer_Gimbal_1,Half of the outer gimbal mechanism,Joystick,,,,1,3,, $0.09 , $0.09 , $0.09 ,0:19,,,,,,,,,,,,,,,,,,,
,LS4_Outer_ Gimbal_2,Half of the outer gimbal mechanism,Joystick,,,,1,3,, $0.09 , $0.09 , $0.09 ,0:19,,,,,,,,,,,,,,,,,,,
,LS4_Gimbal_Shield,Cover for the front of the gimbal mechanism,Joystick,,,,1,4,, $0.12 , $0.12 , $0.12 ,0:18,,,,,,,,,,,,,,,,,,,
,LS4_Magnet_Clip,Piece to hold the magnets of the gimbal sled in place,Joystick,,,,2,1,, $0.03 , $0.03 , $0.03 ,0:02,,,,,,,,,,,,,,,,,,,
,LS4_Gimbal_Sled,Sled to hold gimbal mechanism and insert into the housing,Joystick,,,,1,5,, $0.15 , $0.15 , $0.15 ,0:43,,,,,,,,,,,,,,,,,,,
,LS4_Front_Cap,Front face of the joystick enclosure,Joystick,,,,1,14,, $0.42 , $0.42 , $0.42 ,0:58,,,,,,,,,,,,,,,,,,,
,LS4_Joystick_Housing,Main body of the joystick enclosure,Joystick,,,,1,26,, $0.78 , $0.78 , $0.78 ,2:05,,,,,,,,,,,,,,,,,,,
,LS4_Outer_Locking_Ring,Outer ring used to lock the joystick orientation in place,Joystick,,,,1,17,, $0.51 , $0.51 , $0.51 ,1:15,,,,,,,,,,,,,,,,,,,
,LS4_Inner_Locking_Ring,Inner ring that helps lock the joystick orientation in place,Joystick,,,,1,6,, $0.18 , $0.18 , $0.18 ,0:33,,,,,,,,,,,,,,,,,,,
,LS4_Rear_Housing,Back portion of the joystick enclosure,Joystick,,,,1,22,, $0.66 , $0.66 , $0.66 ,2:27,,,,,,,,,,,,,,,,,,,
,Alternatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part,Description,,Manufacturer,Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,
